LinComb(qed; entropy_ifg)_mean,LinComb(qed; entropy_ifg)_med,LinComb(qed; entropy_ifg)_min,LinComb(qed; entropy_ifg)_max,LinComb(qed; entropy_ifg)_std,qed_mean,qed_med,qed_min,qed_max,qed_std,entropy_ifg_mean,entropy_ifg_med,entropy_ifg_min,entropy_ifg_max,entropy_ifg_std,total_mean,total_med,total_min,total_max,total_std,objective_calls,entropy_ifg_active_desc,entropy_ifg_total_desc,entropy_ifg_pop_entropy,n_replaced,timestamps,n_failed_obj_computation,n_not_improvers_among_success_obj_computation,n_discarded_tabu,n_discarded_filters,n_discarded_rdfilters,n_discarded_sillywalks,n_discarded_sascore,n_discarded_custom_filter
0.914920539704494,0.9152497347205542,0.863930326281303,1.05892288806078,0.0289898115111279,0.8168746462241779,0.8172499789880204,0.6793592488223348,0.8706466919997836,0.03401077776029588,0.00980458934803162,0.009558401968825514,0.004152881452120116,0.020749513625313798,0.002676139509300022,0.914920539704494,0.9152497347205542,0.863930326281303,1.05892288806078,0.0289898115111279,2159,637,1293,12.579562308565652,10,58.640360593795776,0,8,1,0,0,0,0,0
0.9156147169279788,0.9162157602960914,0.8538903119010848,1.037634271237918,0.02867475655487366,0.8173678164867267,0.8176700079459667,0.6950006760131981,0.8706466919997836,0.03355173863924853,0.009824690044125206,0.009616064301707042,0.00416098960958422,0.020697641422733004,0.0026604229692761498,0.9156147169279788,0.9162157602960914,0.8538903119010848,1.037634271237918,0.02867475655487366,2173,635,1299,12.612076858256104,10,59.008240699768066,0,4,0,0,0,0,0,0
0.9163805109661819,0.9168772559122492,0.8676723115447922,1.0217616924442243,0.02831985328451602,0.8177203312254883,0.8178342580254306,0.6950006760131981,0.8706466919997836,0.03334659955618379,0.009866017974069365,0.009646508246323043,0.004210374803241268,0.02118031304454951,0.002677155600229807,0.9163805109661819,0.9168772559122492,0.8676723115447922,1.0217616924442243,0.02831985328451602,2189,636,1308,12.658793441381704,10,59.37955379486084,0,6,1,0,0,0,0,0
0.9171257598363622,0.9174599142643767,0.8695235456284073,1.008961197211399,0.027918608600122373,0.818130765879612,0.8183303198120084,0.6950006760131981,0.8708712840475544,0.03331106846702988,0.009899499395675025,0.009678663744306593,0.004244118748279346,0.021422171041255877,0.002668420598413914,0.9171257598363622,0.9174599142643767,0.8695235456284073,1.008961197211399,0.027918608600122373,2201,633,1311,12.708173570628086,10,59.74653387069702,0,2,0,0,0,0,0,0
0.917693429139144,0.9182465194061081,0.8692032318808266,1.0213787623751904,0.027492190563805932,0.8183261414305832,0.818600917907982,0.6950006760131981,0.8708712840475544,0.03330441346598606,0.009936728770856072,0.00974162941365031,0.004295256108417855,0.020221411999942818,0.0026531251979765714,0.917693429139144,0.9182465194061081,0.8692032318808266,1.0213787623751904,0.027492190563805932,2212,631,1318,12.768829743476978,10,60.52745532989502,0,1,0,0,0,0,0,0
0.9183172377766755,0.9190924859855127,0.8600808133235355,1.0028502785911977,0.027022745927930535,0.8188468231148083,0.8192948891644389,0.6950006760131981,0.8708712840475544,0.03313062156202725,0.009947041466186714,0.009757270310620458,0.004311044610611159,0.020046188854573765,0.002650140742442367,0.9183172377766755,0.9190924859855127,0.8600808133235355,1.0028502785911977,0.027022745927930535,2227,627,1324,12.800273321478528,10,60.94601058959961,0,5,0,0,0,0,0,0
0.9188846739327087,0.9196830568708063,0.8723724550824349,0.9935359233384734,0.02655249436259398,0.8191591098537383,0.8202330586764763,0.6950006760131981,0.8708712840475544,0.03308341934165703,0.009972556407897048,0.009765721070726319,0.004319495370717186,0.01989497342808033,0.002630128073202353,0.9188846739327087,0.9196830568708063,0.8723724550824349,0.9935359233384734,0.02655249436259398,2237,624,1326,12.8472721201214,10,61.367754220962524,0,0,0,0,0,0,0,0
0.9194993562326208,0.9199938161838969,0.8735974818001713,0.9871889904219762,0.026101459955761894,0.8192315892267982,0.8205915320696249,0.6950006760131981,0.8708712840475544,0.033230143736432995,0.01002677670058226,0.009795184836852211,0.004965923361882452,0.02072326583694641,0.0026598792057557275,0.9194993562326208,0.9199938161838969,0.8735974818001713,0.9871889904219762,0.026101459955761894,2250,627,1334,12.912676232744769,10,61.90516114234924,0,3,0,0,0,0,0,0
0.9199941321496435,0.920690356694114,0.8743808469929054,0.9854796211751312,0.025627211409004598,0.8193504200710395,0.8211026908353194,0.6950006760131981,0.8708712840475544,0.03330022328935466,0.010064371207860396,0.00982934363200838,0.004979257090305583,0.01970044178540975,0.002634420779467202,0.9199941321496435,0.920690356694114,0.8743808469929054,0.9854796211751312,0.025627211409004598,2264,625,1341,12.966564481376913,10,62.47138452529907,0,4,1,0,0,0,0,0
0.9205526423004416,0.9211611008379461,0.8729187243037836,0.992416854651648,0.025360577805864055,0.8196033478156426,0.8214916930792868,0.6950006760131981,0.8708712840475544,0.03318421402357721,0.010094929448479908,0.009825882272450626,0.004992771015144309,0.019656723970570278,0.002634103724675313,0.9205526423004416,0.9211611008379461,0.8729187243037836,0.992416854651648,0.025360577805864055,2282,628,1356,12.997134567312216,10,63.17415142059326,0,8,0,0,0,0,0,0
0.9212028635626163,0.921415260452251,0.8764483434713056,1.0005296319336445,0.025210162192330847,0.8199525193444733,0.8226975259162772,0.6950006760131981,0.8708712840475544,0.03310662965567395,0.010125034421814293,0.009842031869158448,0.004992771015144309,0.019167406906803408,0.0026420445151587135,0.9212028635626163,0.921415260452251,0.8764483434713056,1.0005296319336445,0.025210162192330847,2294,629,1365,13.032636647096037,10,63.6674690246582,0,2,0,0,0,0,0,0
0.9219012576921571,0.9221273195790255,0.8775675724803838,1.0127864402251079,0.024946579982511003,0.8204212239012383,0.8236810517888591,0.7093087411302821,0.8708712840475544,0.032741800837460686,0.010148003379091898,0.00985644960975457,0.004992771015144309,0.019042907761041505,0.002636837609035801,0.9219012576921571,0.9221273195790255,0.8775675724803838,1.0127864402251079,0.024946579982511003,2308,632,1376,13.05360174252743,10,64.17342567443848,0,4,0,0,0,0,0,0
