smiles,n_success_mut,n_failures_mut,qed,total,obj_computation_time,history_data
CCOCN,0,0,0.46650534165160057,0.46650534165160057,0.0010266304016113281,C|AddA-8|InsA-0_Sub-21|InsA-4|Sub-16_AddA-9|Sub-18
CCSPF,2,0,0.49333870932532575,0.49333870932532575,0.0009918212890625,C|AddA-8|AddA-11_InsA-0|AddA-37_Sub-16|RmA-1_AddA-35|Sub-21_Sub-28
NCCCS,0,0,0.4685018604851651,0.4685018604851651,0.0010190010070800781,C|AddA-8|AddA-11_InsA-0|Sub-21|InsA-2|Sub-9
CC(C)C,0,0,0.3971180036971562,0.3971180036971562,0.000904083251953125,C|AddA-8|AddA-11_InsA-0|AddA-37_Sub-16|MoveFG-8_RmA-4
CC[SH](C)Br,2,0,0.5522705698066268,0.5522705698066268,0.0010020732879638672,C|AddA-8|InsA-0_Sub-21|InsA-4|AddA-31
CC[SH](C)F,0,0,0.47001194617031505,0.47001194617031505,0.001848459243774414,C|AddA-8|InsA-0_Sub-21|InsA-4|AddA-31|Sub-35
CCCN,0,0,0.46327091845476276,0.46327091845476276,0.0009229183197021484,C|AddA-8|InsA-0_Sub-21|InsA-4|Sub-16_AddA-9|RmA-1
CCSF,0,0,0.4609283321514007,0.4609283321514007,0.0009360313415527344,C|AddA-8|AddA-11_InsA-0|AddA-37_Sub-16|RmA-1_AddA-35|RmA-1
C[SH](C)PF,0,0,0.38919311656553773,0.38919311656553773,0.0010328292846679688,C|AddA-8|AddA-11_InsA-0|AddA-37_Sub-16|RmA-1_AddA-35|Sub-21_Sub-28|MoveFG-2
PCCCS,0,0,0.39830241387001564,0.39830241387001564,0.0010025501251220703,C|AddA-8|AddA-11_InsA-0|Sub-21|InsA-2|Sub-12
CC[SH](C)O,0,0,0.4662880661922194,0.4662880661922194,0.0010437965393066406,C|AddA-8|InsA-0_Sub-21|InsA-4|AddA-31|Sub-34
CCCNC,0,0,0.5048540523547576,0.5048540523547576,0.0009632110595703125,C|AddA-8|InsA-0_Sub-21|InsA-4|Sub-16_AddA-9|MoveFG-9
CC(Br)CF,0,0,0.4875555712911831,0.4875555712911831,0.000995635986328125,C|AddA-8|AddA-11_InsA-0|AddA-37_Sub-16|RmA-1_AddA-35|CutA-3_AddA-15
FCCSP,0,0,0.4873713302465647,0.4873713302465647,0.0009729862213134766,C|AddA-8|AddA-11_InsA-0|AddA-37_Sub-16|RmA-1_AddA-35|Sub-21_Sub-28|MoveFG-46
CCCCCl,0,0,0.4574501894338695,0.4574501894338695,0.000997304916381836,C|AddA-8|AddA-11_InsA-0|Sub-21|InsA-2|Sub-22
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
,0,0,,,,
