qed_mean,qed_med,qed_min,qed_max,qed_std,total_mean,total_med,total_min,total_max,total_std,objective_calls,n_replaced,timestamps,n_failed_obj_computation,n_not_improvers_among_success_obj_computation,n_discarded_tabu,n_discarded_filters,n_discarded_rdfilters,n_discarded_sillywalks,n_discarded_sascore,n_discarded_custom_filter
0.3597849378839701,0.3597849378839701,0.3597849378839701,0.3597849378839701,0.0,0.3597849378839701,0.3597849378839701,0.3597849378839701,0.3597849378839701,0.0,0,0,0.01115870475769043,0,0,0,0,0,0,0,0
0.3725346711789066,0.3725346711789066,0.3597849378839701,0.38528440447384316,0.012749733294936533,0.3725346711789066,0.3725346711789066,0.3597849378839701,0.38528440447384316,0.012749733294936533,1,1,0.017395734786987305,0,0,0,0,0,0,0,0
0.3841338792291608,0.3849713066886394,0.3597849378839701,0.40680796565539457,0.01664770081604238,0.3841338792291608,0.3849713066886394,0.3597849378839701,0.40680796565539457,0.01664770081604238,3,2,0.8741047382354736,0,0,0,0,0,0,0,0
0.3980003942102019,0.39141973303895017,0.3597849378839701,0.45506321042303227,0.02687693510893877,0.3980003942102019,0.39141973303895017,0.3597849378839701,0.45506321042303227,0.02687693510893877,7,4,0.8974394798278809,0,0,3,0,0,0,0,0
0.40488296229263177,0.3849713066886394,0.3573626606013345,0.5708211336010065,0.05365722345814689,0.40488296229263177,0.3849713066886394,0.3573626606013345,0.5708211336010065,0.05365722345814689,15,8,0.9423675537109375,0,0,11,3,0,0,3,0
0.4073703612810278,0.3907248191266476,0.3277476769246249,0.5708211336010065,0.05750887384206737,0.4073703612810278,0.3907248191266476,0.3277476769246249,0.5708211336010065,0.05750887384206737,25,10,0.9889183044433594,0,0,9,2,0,0,2,0
0.41643151352016283,0.40139083436634804,0.3277476769246249,0.5708211336010065,0.05630062083130898,0.41643151352016283,0.40139083436634804,0.3277476769246249,0.5708211336010065,0.05630062083130898,35,10,1.051133394241333,0,0,17,0,0,0,0,0
0.4248822644966094,0.40620577639872735,0.3277476769246249,0.5914316843133631,0.06167537460782407,0.4248822644966094,0.40620577639872735,0.3277476769246249,0.5914316843133631,0.06167537460782407,45,10,1.0976808071136475,0,0,3,0,0,0,0,0
0.4355335121166712,0.4224211793911788,0.3277476769246249,0.5914316843133631,0.06164613256984254,0.4355335121166712,0.4224211793911788,0.3277476769246249,0.5914316843133631,0.06164613256984254,55,10,1.1496262550354004,0,0,4,0,0,0,0,0
0.43748854091983486,0.43266873394623917,0.28855501468564687,0.5914316843133631,0.06447123972676486,0.43748854091983486,0.43266873394623917,0.28855501468564687,0.5914316843133631,0.06447123972676486,65,10,1.1982536315917969,0,0,6,0,0,0,0,0
